TDNTuple4Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.0, gamma: 1.0, random 1 9-tuple, evalQ: 2, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 100, -0.75, 0.0, 3500, 639, 0.214, 16355.140186915889, 0.0, 0.0
0, 200, -0.5, 0.0, 73500, 1353, 0.537, 136871.50837988826, 0.0, 0.0
0, 300, -0.05, 0.0, 143500, 2115, 0.832, 172475.96153846156, 0.0, 0.0
0, 400, -0.25, 0.0, 213500, 2894, 1.269, 168242.7107959023, 0.0, 0.0
0, 500, -0.1, 0.0, 283500, 3686, 1.687, 168049.79253112033, 0.0, 0.0
0, 600, -0.05, 0.0, 353500, 4483, 2.065, 171186.4406779661, 0.0, 0.0
0, 700, -0.05, 0.0, 423500, 5285, 2.63, 161026.61596958176, 0.0, 0.0
0, 800, -0.1, 0.0, 493500, 6095, 3.251, 151799.44632420794, 0.0, 0.0
0, 900, -0.1, 0.0, 563500, 6880, 3.804, 148133.5436382755, 0.0, 0.0
0, 1000, -0.25, 0.0, 633500, 7680, 4.228, 149834.43708609272, 0.0, 0.0
0, 1100, -0.25, 0.0, 703500, 8451, 4.82, 145954.35684647303, 0.0, 0.0
0, 1200, 0.0, 0.0, 773500, 9207, 5.398, 143293.81252315672, 0.0, 0.0
0, 1300, -0.05, 0.0, 843500, 9985, 5.889, 143233.14654440482, 0.0, 0.0
0, 1400, 0.0, 0.0, 913500, 10781, 6.414, 142422.82507015904, 0.0, 0.0
0, 1500, -0.05, 0.0, 983500, 11602, 6.611, 148767.2061715323, 0.0, 0.0
0, 1600, -0.05, 0.0, 1053500, 12416, 6.842, 153975.44577608886, 0.0, 0.0
0, 1700, 0.0, 0.0, 1123500, 13215, 7.023, 159974.36992738146, 0.0, 0.0
0, 1800, 0.0, 0.0, 1193500, 14056, 7.198, 165809.94720755765, 0.0, 0.0
0, 1900, 0.0, 0.0, 1263500, 14874, 7.928, 159371.8466195762, 0.0, 0.0
0, 2000, 0.0, 0.0, 1333500, 15682, 8.252, 161597.188560349, 0.0, 0.0
0, 2100, 0.0, 0.0, 1403500, 16516, 8.621, 162800.13919498897, 0.0, 0.0
0, 2200, 0.0, 0.0, 1473500, 17341, 8.918, 165227.62951334383, 0.0, 0.0
0, 2300, -0.1, 0.0, 1543500, 18186, 9.175, 168228.88283378744, 0.0, 0.0
0, 2400, 0.0, 0.0, 1613500, 19019, 9.538, 169165.44348920108, 0.0, 0.0
0, 2500, 0.0, 0.0, 1683500, 19860, 9.991, 168501.6514863377, 0.0, 0.0
0, 2600, -0.3, 0.0, 1753500, 20715, 10.299, 170259.24847072532, 0.0, 0.0
0, 2700, -0.2, 0.0, 1823500, 21550, 10.687, 170627.86563114065, 0.0, 0.0
0, 2800, -0.05, 0.0, 1893500, 22407, 11.03, 171668.1776971895, 0.0, 0.0
0, 2900, -0.25, 0.0, 1963500, 23247, 11.283, 174022.8662589737, 0.0, 0.0
0, 3000, -0.25, 0.0, 2033500, 24104, 11.663, 174354.79722198404, 0.0, 0.0
0, 3100, 0.0, 0.0, 2103500, 24965, 11.997, 175335.50054180212, 0.0, 0.0
0, 3200, 0.0, 0.0, 2173500, 25776, 12.34, 176134.52188006483, 0.0, 0.0
0, 3300, -0.05, 0.0, 2243500, 26631, 12.528, 179078.8633461047, 0.0, 0.0
0, 3400, -0.1, 0.0, 2313500, 27477, 12.728, 181764.61345065996, 0.0, 0.0
0, 3500, 0.0, 0.0, 2383500, 28324, 12.908, 184652.9284164859, 0.0, 0.0
0, 3600, -0.15, 0.0, 2453500, 29185, 13.088, 187461.79706601467, 0.0, 0.0
0, 3700, -0.05, 0.0, 2523500, 30054, 13.277, 190065.52685094526, 0.0, 0.0
0, 3800, -0.1, 0.0, 2593500, 30928, 13.468, 192567.56756756757, 0.0, 0.0
0, 3900, -0.1, 0.0, 2663500, 31798, 13.656, 195042.47217340363, 0.0, 0.0
0, 4000, -0.05, 0.0, 2733500, 32670, 13.844, 197450.1589136088, 0.0, 0.0
0, 4100, -0.05, 0.0, 2803500, 33549, 14.02, 199964.33666191157, 0.0, 0.0
0, 4200, -0.05, 0.0, 2873500, 34416, 14.205, 202287.92678634284, 0.0, 0.0
0, 4300, 0.0, 0.0, 2943500, 35303, 14.395, 204480.72247308094, 0.0, 0.0
0, 4400, 0.0, 0.0, 3013500, 36194, 14.615, 206192.26821758467, 0.0, 0.0
0, 4500, 0.0, 0.0, 3083500, 37068, 14.817, 208105.55443072147, 0.0, 0.0
0, 4600, 0.0, 0.0, 3153500, 37968, 14.995, 210303.4344781594, 0.0, 0.0
0, 4700, 0.0, 0.0, 3223500, 38868, 15.195, 212142.152023692, 0.0, 0.0
0, 4800, -0.05, 0.0, 3293500, 39761, 15.443, 213268.1473806903, 0.0, 0.0
0, 4900, 0.0, 0.0, 3363500, 40658, 15.704, 214181.10035659705, 0.0, 0.0
0, 5000, 0.0, 0.0, 3433500, 41558, 16.118, 213022.70753195186, 0.0, 0.0
1, 100, -0.55, 0.0, 3500, 630, 0.048, 72916.66666666667, 0.0, 0.0
1, 200, -0.5, 0.0, 73500, 1332, 0.6, 122500.0, 0.0, 0.0
1, 300, -0.45, 0.0, 143500, 2004, 1.039, 138113.5707410972, 0.0, 0.0
1, 400, -0.2, 0.0, 213500, 2661, 1.28, 166796.875, 0.0, 0.0
1, 500, 0.0, 0.0, 283500, 3418, 1.49, 190268.45637583893, 0.0, 0.0
1, 600, -0.1, 0.0, 353500, 4245, 1.695, 208554.57227138642, 0.0, 0.0
1, 700, -0.15, 0.0, 423500, 5021, 1.89, 224074.07407407407, 0.0, 0.0
1, 800, -0.15, 0.0, 493500, 5789, 2.078, 237487.96920115498, 0.0, 0.0
1, 900, 0.0, 0.0, 563500, 6577, 2.264, 248895.7597173145, 0.0, 0.0
1, 1000, 0.0, 0.0, 633500, 7393, 2.474, 256063.05578011315, 0.0, 0.0
1, 1100, -0.2, 0.0, 703500, 8203, 2.681, 262402.0887728459, 0.0, 0.0
1, 1200, -0.1, 0.0, 773500, 9006, 2.873, 269230.7692307692, 0.0, 0.0
1, 1300, -0.15, 0.0, 843500, 9820, 3.064, 275293.7336814621, 0.0, 0.0
1, 1400, -0.3, 0.0, 913500, 10605, 3.252, 280904.0590405904, 0.0, 0.0
1, 1500, -0.1, 0.0, 983500, 11422, 3.443, 285652.0476328783, 0.0, 0.0
1, 1600, -0.1, 0.0, 1053500, 12238, 3.631, 290140.4571743322, 0.0, 0.0
1, 1700, 0.0, 0.0, 1123500, 13035, 3.82, 294109.94764397905, 0.0, 0.0
1, 1800, 0.0, 0.0, 1193500, 13872, 4.014, 297334.3298455406, 0.0, 0.0
1, 1900, 0.0, 0.0, 1263500, 14687, 4.194, 301263.71006199333, 0.0, 0.0
1, 2000, 0.0, 0.0, 1333500, 15532, 4.392, 303620.21857923496, 0.0, 0.0
1, 2100, -0.05, 0.0, 1403500, 16378, 4.579, 306507.97117274516, 0.0, 0.0
1, 2200, -0.2, 0.0, 1473500, 17221, 4.775, 308586.3874345549, 0.0, 0.0
1, 2300, -0.1, 0.0, 1543500, 18044, 4.965, 310876.1329305136, 0.0, 0.0
1, 2400, -0.15, 0.0, 1613500, 18892, 5.156, 312936.3847944143, 0.0, 0.0
1, 2500, 0.0, 0.0, 1683500, 19739, 5.354, 314437.8035113934, 0.0, 0.0
1, 2600, -0.2, 0.0, 1753500, 20532, 5.542, 316402.02093107183, 0.0, 0.0
1, 2700, -0.05, 0.0, 1823500, 21329, 5.734, 318015.3470526683, 0.0, 0.0
1, 2800, -0.05, 0.0, 1893500, 22173, 5.914, 320172.47210010147, 0.0, 0.0
1, 2900, 0.0, 0.0, 1963500, 23017, 6.117, 320990.681706719, 0.0, 0.0
1, 3000, -0.2, 0.0, 2033500, 23881, 6.307, 322419.5338512763, 0.0, 0.0
1, 3100, -0.25, 0.0, 2103500, 24726, 6.507, 323267.2506531428, 0.0, 0.0
1, 3200, -0.25, 0.0, 2173500, 25578, 6.696, 324596.7741935484, 0.0, 0.0
1, 3300, -0.2, 0.0, 2243500, 26430, 6.899, 325192.056819829, 0.0, 0.0
1, 3400, -0.2, 0.0, 2313500, 27274, 7.108, 325478.33427124366, 0.0, 0.0
1, 3500, -0.25, 0.0, 2383500, 28122, 7.291, 326909.88890412834, 0.0, 0.0
1, 3600, -0.25, 0.0, 2453500, 28987, 7.478, 328095.7475260765, 0.0, 0.0
1, 3700, -0.2, 0.0, 2523500, 29848, 7.672, 328923.3576642336, 0.0, 0.0
1, 3800, -0.25, 0.0, 2593500, 30724, 7.873, 329416.9947923282, 0.0, 0.0
1, 3900, -0.2, 0.0, 2663500, 31597, 8.059, 330500.062042437, 0.0, 0.0
1, 4000, -0.15, 0.0, 2733500, 32482, 8.469, 322765.37961978983, 0.0, 0.0
1, 4100, 0.0, 0.0, 2803500, 33351, 8.906, 314787.7835167303, 0.0, 0.0
1, 4200, -0.1, 0.0, 2873500, 34236, 9.364, 306866.72362238355, 0.0, 0.0
1, 4300, -0.15, 0.0, 2943500, 35111, 9.797, 300449.1170766561, 0.0, 0.0
1, 4400, -0.05, 0.0, 3013500, 35993, 10.117, 297864.9797370762, 0.0, 0.0
1, 4500, -0.25, 0.0, 3083500, 36878, 10.558, 292053.41920818336, 0.0, 0.0
1, 4600, -0.05, 0.0, 3153500, 37766, 10.816, 291558.8017751479, 0.0, 0.0
1, 4700, -0.25, 0.0, 3223500, 38654, 11.093, 290588.6595150095, 0.0, 0.0
1, 4800, -0.2, 0.0, 3293500, 39536, 11.51, 286142.48479582975, 0.0, 0.0
1, 4900, -0.25, 0.0, 3363500, 40436, 11.932, 281889.0378813275, 0.0, 0.0
1, 5000, -0.25, 0.0, 3433500, 41335, 12.334, 278376.84449489217, 0.0, 0.0
2, 100, -0.7, 0.0, 2100, 617, 0.022, 95454.54545454546, 0.0, 0.0
2, 200, -0.6, 0.0, 72100, 1312, 0.444, 162387.3873873874, 0.0, 0.0
2, 300, -0.45, 0.0, 142100, 2043, 0.874, 162585.8123569794, 0.0, 0.0
2, 400, -0.35, 0.0, 212100, 2800, 1.297, 163531.2259059368, 0.0, 0.0
2, 500, 0.0, 0.0, 282100, 3564, 1.715, 164489.79591836734, 0.0, 0.0
2, 600, -0.05, 0.0, 352100, 4340, 2.147, 163996.273870517, 0.0, 0.0
2, 700, -0.1, 0.0, 422100, 5072, 2.57, 164241.24513618677, 0.0, 0.0
2, 800, -0.1, 0.0, 492100, 5841, 2.981, 165078.8326065079, 0.0, 0.0
2, 900, -0.25, 0.0, 562100, 6621, 3.463, 162315.91105977475, 0.0, 0.0
2, 1000, -0.05, 0.0, 632100, 7411, 3.905, 161869.3982074264, 0.0, 0.0
2, 1100, -0.1, 0.0, 702100, 8235, 4.332, 162072.945521699, 0.0, 0.0
2, 1200, -0.2, 0.0, 772100, 9012, 4.757, 162308.17742274544, 0.0, 0.0
2, 1300, 0.0, 0.0, 842100, 9803, 5.012, 168016.75977653632, 0.0, 0.0
