TDNTuple4Agt: USESYM:true, nSym:0, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, eps_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10, stepRew: -0.04, rewPos: 1.0;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;1;0;1.00E-08;0;1;0;0.452;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;1;0;1.00E-08;1;1;1;0.264;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;2;0;1.00E-08;0;1;1;0.451;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;2;0;1.00E-08;1;1;1;0.277;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;3;0;1.00E-08;0;1;0;0.442;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;3;0;1.00E-08;1;1;0;0.285;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;4;0;1.00E-08;0;1;0;0.459;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;4;0;1.00E-08;1;1;0;0.296;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;5;0;1.00E-08;0;1;0;0.475;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;5;0;1.00E-08;1;1;0;0.323;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;6;0;1.00E-08;0;1;1;0.521;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;6;0;1.00E-08;1;1;0;0.347;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;7;0;1.00E-08;0;1;0;0.576;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;7;0;1.00E-08;1;1;0;0.415;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;8;0;1.00E-08;0;1;0;0.804;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;8;0;1.00E-08;1;1;0;0.587;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;9;0;1.00E-08;0;1;0;1.083;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;9;0;1.00E-08;1;1;0;0.843;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;1;10000;1.00E-08;0;1;1;45.361;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;1;10000;1.00E-08;1;1;1;40.573;0
TCL4-100_7_250k-lam05_P4_H010-FAm-stub_EX0_00.agt.zip;1;1;2;10000;1.00E-08;0;1;1;46.425;0
